Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11	F_3:13	D_3:13
4490.18058381323	-2.57060862518847	-3.43081278323938	-11.708620017359	5.00789230131094	-9.9348826053596	4.24715367486331	-8.37845797584857	3.73246083176068	-7.12293725457226	3.33314631237431	-6.30012623283148	3.00443583297352	-5.55087146085358	2.82149526444492
4495.48748585209	-2.3997077094391	-3.46856726590363	-11.6419437496256	5.01075749864626	-9.99962018756641	4.24377198962338	-8.38709095613564	3.72835303702744	-7.11228272894783	3.34809123449242	-6.32789713003542	3.01714411400931	-5.51726567552938	2.81252490943332
4500.78750551026	-2.47182306181639	-3.46218175956852	-11.5706246407967	4.98757781171964	-9.96780732823972	4.2489135307822	-8.36840941398629	3.73721984915658	-7.08629698468354	3.34166504017721	-6.38190691167785	2.98030526561416	-5.60496455754534	2.89360566043337
4506.08190761693	-2.5152286067605	-3.46267382876766	-11.6961308791879	5.05358145089253	-9.86891067801471	4.28376218683118	-8.42501364609286	3.73076538868909	-7.09703118516114	3.35889938606071	-6.3030731616521	3.02850184895082	-5.57380874606584	2.84380147503359
4511.36858370434	-2.46523276995867	-3.42513598163782	-11.7463016720753	5.03704888221333	-10.0398335258523	4.299990484422	-8.37130456378743	3.71344874423333	-7.13103060917461	3.33967262025707	-6.32037234030151	3.0293854715119	-5.58807804300564	2.80264407959466
4516.66883470304	-2.42488725949079	-3.45102800663073	-11.6529895749832	4.99508477239147	-9.91917709364079	4.26900253192127	-8.38226520656833	3.75532864450846	-7.11606945342242	3.34422199701816	-6.32686601980305	3.0054691667124	-5.56159633435023	2.84757249144367
4521.97861089651	-2.44348842278123	-3.42284471515313	-11.5343562271091	5.07317022282473	-9.96048027379893	4.25127707674726	-8.37426413237342	3.73320189375705	-7.11981292313754	3.34366817934157	-6.31370763136721	3.02516531669177	-5.59327463670748	2.87181689669299
4527.28138903901	-2.42613928765059	-3.43849504515293	-11.6286763418111	5.0317860672476	-9.85464875875495	4.23713034026104	-8.390111099006	3.73551825421196	-7.11418022708499	3.33842174161881	-6.36113520164537	3.02248189414859	-5.69282455550088	2.77261294766032
4532.57491356041	-2.42477709054947	-3.45498926602914	-11.6548641857648	4.97633209676079	-9.99577349899791	4.3123934835109	-8.35276019959935	3.74004297071219	-7.10273525529197	3.33724482608312	-6.39664761174965	3.00147311566267	-5.48460749229886	2.82148459807996
4537.86272309069	-2.56015363987535	-3.43471311307052	-11.6814213438224	5.08243001685699	-9.99709466053618	4.24239944013123	-8.38848184010073	3.71111574686101	-7.12455478638145	3.33198985638638	-6.3153188905406	2.98668131331109	-5.58194992384411	2.80325439039739
4543.16659192834	-2.45374415256083	-3.45755746970536	-11.689493461166	5.01441022130425	-9.88480080096488	4.22642750819258	-8.4852332554047	3.71950383073652	-7.08720991674141	3.3387194486041	-6.4067911390028	3.00628277989436	-5.52358714814678	2.86919540184084
4548.47511460818	-2.41042264923453	-3.43893550121924	-11.5499350086743	4.99779811155304	-9.95798467798604	4.25570942274506	-8.37856881600744	3.7250232512099	-7.050268715419	3.36264613967543	-6.34453110120677	3.02082559611038	-5.67175026676156	2.83826361732381
